,Date Time,Actual Conductivity (ÂµS/cm),Specific Conductivity (ÂµS/cm),Salinity (psu),Resistivity (â„¦-cm),Density (g/cmÂ³),Total Dissolved Solids (mg/L),pH (pH),pH MV (mV),ORP (mV),DO (mg/L),% Saturation Oâ‚‚ (% sat),Partial Pressure Oâ‚‚ (psi),Temperature (C),External Voltage (V),Pressure (psi),Depth (m),Level: Depth to Water (m),station_id,easting,northing
20597,2023-05-14 10:00:00.000,476.4579162597656,482.0457458496094,0.2603743076324463,2098.8212890625,0.9985292553901672,313.3297264575958,3.903989791870117,176.16033935546875,253.0473175048828,1.017978310585022,11.088566780090332,0.3199543466685341,19.39309501647949,15.803999900817873,9.276374816894531,6.722936732482911,7.712314714050294,FEX_004,1383210.914,3875906.773
20598,2023-05-14 11:00:00.000,476.5187683105469,482.0915832519531,0.2603990137577057,2098.55322265625,0.9985289573669434,313.3595287799835,3.903964757919312,176.1627197265625,252.67538452148435,1.0172672271728516,11.078890800476074,0.319746553642212,19.39478302001953,15.812999725341797,9.27190113067627,6.719718905639649,7.715463940429688,FEX_004,1383210.914,3875906.773
20599,2023-05-14 12:00:00.000,476.5919189453125,482.1676940917969,0.2604414820671081,2098.231201171875,0.9985289573669434,313.4090006351471,3.904092788696289,176.1555633544922,252.26292419433597,1.0152193307876587,11.053217887878418,0.3191186749627467,19.394556045532227,15.812999725341797,9.264374732971191,6.714408183288574,7.720763616943359,FEX_004,1383210.914,3875906.773
20600,2023-05-14 13:00:00.000,476.6250305175781,482.2068176269531,0.2604635655879974,2098.08544921875,0.9985290765762328,313.4344220161438,3.905433416366577,176.0816650390625,251.78846740722653,1.0169131755828855,11.064838409423828,0.3196335841641104,19.393953323364254,15.821999549865724,9.265061378479004,6.714934895324707,7.720280506896973,FEX_004,1383210.914,3875906.773
20601,2023-05-14 14:00:00.000,476.6952209472656,482.2881774902344,0.2605093717575073,2097.7763671875,0.998529314994812,313.487321138382,3.9052910804748535,176.08880615234375,251.36169433593756,1.0135070085525513,11.01850414276123,0.3185841076706785,19.392845153808597,15.812999725341797,9.262449264526367,6.713094309997559,7.722119348144532,FEX_004,1383210.914,3875906.773
20602,2023-05-14 15:00:00.000,476.7994995117188,482.3965759277344,0.2605699002742767,2097.317626953125,0.9985294342041016,313.55777382850647,3.9056782722473145,176.06735229492188,251.0803680419922,1.0134268999099731,11.01393985748291,0.3185575895333115,19.39253044128418,15.821999549865724,9.255478858947754,6.708152751159668,7.727027188110352,FEX_004,1383210.914,3875906.773
20603,2023-05-14 16:00:00.000,476.9045715332031,482.486328125,0.2606189846992492,2096.85546875,0.9985291361808776,313.6160969734192,3.905176877975464,176.09596252441406,251.02552795410156,1.0093787908554075,10.971959114074709,0.3173291617151166,19.39430809020996,15.848999977111816,9.261981964111328,6.712771655273438,7.722448397827149,FEX_004,1383210.914,3875906.773
20604,2023-05-14 17:00:00.000,477.0289001464844,482.6136169433594,0.2606900036334991,2096.30908203125,0.9985291957855223,313.6988580226898,3.905348777770996,176.08642578125,250.80142211914065,1.0092803239822388,10.973958969116213,0.3172978489214802,19.39414596557617,15.857999801635742,9.271918296813965,6.719761926269531,7.715452313232422,FEX_004,1383210.914,3875906.773
20605,2023-05-14 18:00:00.000,477.191650390625,482.7875671386719,0.2607872784137726,2095.593994140625,0.9985294342041016,313.81192803382874,3.905729293823242,176.06497192382812,250.6893615722656,1.006036639213562,10.94420337677002,0.3162994539583032,19.393150329589844,15.812999725341797,9.269824028015137,6.718247483825684,7.716927223205567,FEX_004,1383210.914,3875906.773
20606,2023-05-14 19:00:00.000,477.3131713867188,482.9034423828125,0.2608514428138733,2095.060546875,0.9985293745994568,313.88723850250244,3.9059550762176514,176.05303955078125,250.5820770263672,1.0018525123596191,10.905091285705566,0.3150234483971272,19.393909454345703,15.831000328063965,9.27596950531006,6.722929174804688,7.712599580383301,FEX_004,1383210.914,3875906.773
20607,2023-05-14 20:00:00.000,477.4353332519531,483.029541015625,0.2609217762947082,2094.5244140625,0.9985294938087464,313.9691948890686,3.906777620315552,176.00775146484375,250.14099121093756,0.9999923706054688,10.893715858459473,0.3144519253698131,19.39364051818848,15.812999725341797,9.272424697875977,6.72011423034668,7.715095939636231,FEX_004,1383210.914,3875906.773
20608,2023-05-14 21:00:00.000,477.5930786132813,483.189697265625,0.261011004447937,2093.832763671875,0.9985295534133912,314.0733242034912,3.905994892120361,176.0506591796875,249.72853088378903,0.9945001602172852,10.83810806274414,0.3127700337144456,19.393577575683597,15.821999549865724,9.278406143188477,6.72428665008545,7.710884568786621,FEX_004,1383210.914,3875906.773
20609,2023-05-14 22:00:00.000,477.7425231933594,483.348388671875,0.2610997259616852,2093.177734375,0.9985297918319702,314.176470041275,3.9058120250701904,176.06019592285156,249.45196533203125,0.9900435209274292,10.788485527038574,0.3114013068774135,19.39277648925781,15.821999549865724,9.273553848266602,6.720871742248535,7.714301220703125,FEX_004,1383210.914,3875906.773
20610,2023-05-14 23:00:00.000,477.924560546875,483.5192565917969,0.2611942291259765,2092.38037109375,0.998529613018036,314.2875134944916,3.9069573879241934,175.9982147216797,249.2040100097656,0.9860632419586182,10.744592666625977,0.3101910249890997,19.39419937133789,15.821999549865724,9.273298263549805,6.720692683410645,7.714480860900879,FEX_004,1383210.914,3875906.773
20611,2023-05-15 00:00:00.000,478.0768127441406,483.6827392578125,0.2612856924533844,2091.714111328125,0.998529851436615,314.3937885761261,3.906424999237061,176.02682495117188,249.05142211914065,0.9847016334533693,10.722650527954102,0.3097689845914775,19.393190383911133,15.821999549865724,9.27265167236328,6.720278755187989,7.714936065673829,FEX_004,1383210.914,3875906.773
20612,2023-05-15 01:00:00.000,478.2311401367188,483.84375,0.2613756060600281,2091.0390625,0.9985300302505492,314.4984245300293,3.907418727874756,175.97198486328125,248.71763610839844,0.981584906578064,10.682653427124023,0.308811952759117,19.392667770385746,15.821999549865724,9.278009414672852,6.724007015991211,7.71116420288086,FEX_004,1383210.914,3875906.773
20613,2023-05-15 02:00:00.000,478.379150390625,483.9831237792969,0.2614527344703674,2090.39208984375,0.998529851436615,314.5890235900879,3.9079089164733887,175.9457550048828,248.24557495117188,0.9791141748428344,10.649325370788574,0.3080618656677386,19.393775939941406,15.803999900817873,9.273645401000977,6.721286833190918,7.714236689758301,FEX_004,1383210.914,3875906.773
20614,2023-05-15 03:00:00.000,478.5239562988281,484.1296691894531,0.2615343034267425,2089.759521484375,0.9985299110412598,314.68427181243896,3.907083034515381,175.99105834960938,247.70913696289065,0.9772592782974244,10.62048053741455,0.3074941968064258,19.39377212524414,15.803999900817873,9.272329330444336,6.720362471008301,7.715163377380372,FEX_004,1383210.914,3875906.773
